EQN fully unfold
Runner stopped: Some(TimeLimit(303.264091057)). Time take for runner: 303.265363842s, Classes: 2497, Nodes: 40508, Size: 42295


key112,value55.54550552368164
key150,value27.251598358154297
key164,value20.18907356262207
key155,value20.18907356262207
key66,value22.645423889160156
key221,value18.616146087646484
key100,value20.18907356262207
key44,value31.794578552246094
key182,value37.74216079711914
key110,value20.18907356262207
key76,value20.41449737548828
key217,value35.1906852722168
key77,value27.638696670532227
key13,value18.41542625427246
key137,value20.18907356262207
key143,value29.69255256652832
key149,value40.10884094238281
key38,value31.88900375366211
key180,value14.353857040405273
key204,value20.18907356262207
key64,value19.49689483642578
key27,value31.794578552246094
key49,value31.88900375366211
key80,value20.18907356262207
key54,value31.88900375366211
key186,value46.03773498535156
key224,value20.18907356262207
key139,value17.309389114379883
key19,value20.416996002197266
key189,value20.18907356262207
key14,value31.794578552246094
key142,value53.4068717956543
key190,value32.5142822265625
key133,value20.18907356262207
key132,value25.1395206451416
key5,value16.172725677490234
key37,value21.856462478637695
key219,value23.33341407775879
key18,value18.003936767578125
key225,value30.752925872802734
key160,value46.221214294433594
key147,value20.18907356262207
key119,value20.18907356262207
key15,value30.505006790161133
key84,value21.213075637817383
key32,value25.210498809814453
key175,value22.22455406188965
key3,value20.175357818603516
key53,value31.88900375366211
key168,value39.958396911621094
key181,value20.18907356262207
key97,value64.0323486328125
key176,value20.41913414001465
key91,value25.2493839263916
key56,value31.88900375366211
key185,value20.18907356262207
key92,value41.02749252319336
key162,value20.18907356262207
key114,value27.638696670532227
key117,value22.22455406188965
key210,value21.0710506439209
key165,value33.227210998535156
key96,value26.4460506439209
key122,value17.548921585083008
key23,value31.20594596862793
key197,value20.18907356262207
key207,value22.22455406188965
key173,value20.18907356262207
key106,value23.33341407775879
key163,value18.980260848999023
key174,value31.522951126098633
key222,value24.279613494873047
key184,value20.18907356262207
key102,value11.534664154052734
key199,value33.890045166015625
key39,value16.720203399658203
key33,value30.834585189819336
key123,value55.57624435424805
key74,value9.832405090332031
key223,value18.0064754486084
key48,value31.88900375366211
key29,value30.834585189819336
key120,value59.96812057495117
key86,value23.99011993408203
key158,value20.18907356262207
key107,value20.18907356262207
key1,value21.69032859802246
key193,value20.18907356262207
key26,value17.6787166595459
key113,value16.184978485107422
key90,value22.22455406188965
key116,value24.25328254699707
key125,value25.608335494995117
key170,value25.18053436279297
key83,value20.18907356262207
key87,value25.518123626708984
key46,value27.711475372314453
key25,value31.20594596862793
key159,value13.359391212463379
key103,value20.18907356262207
key31,value15.79019546508789
key24,value31.88900375366211
key17,value31.88900375366211
key105,value15.358881950378418
key36,value25.966209411621094
key35,value49.936866760253906
key75,value20.18907356262207
key216,value22.22455406188965
key146,value41.02749252319336
key208,value20.18907356262207
key191,value20.18907356262207
key203,value24.814796447753906
key20,value31.88900375366211
key58,value31.88900375366211
key183,value26.341405868530273
key9,value31.88900375366211
key134,value20.18907356262207
key214,value20.18907356262207
key192,value24.4311466217041
key140,value20.18907356262207
key30,value31.88900375366211
key172,value47.428489685058594
key34,value40.61328125
key63,value12.435091972351074
key126,value20.18907356262207
key195,value31.470190048217773
key115,value22.22455406188965
key187,value20.18907356262207
key79,value12.369627952575684
key12,value31.391122817993164
key211,value20.18907356262207
key128,value17.331336975097656
key59,value31.88900375366211
key28,value26.79244041442871
key45,value18.672895431518555
key11,value31.88900375366211
key4,value31.88900375366211
key151,value22.22455406188965
key21,value19.26190948486328
key72,value20.18907356262207
key215,value12.369627952575684
key129,value22.22455406188965
key93,value22.22455406188965
key177,value34.971256256103516
key69,value20.18907356262207
key169,value17.074403762817383
key209,value20.18907356262207
key108,value22.22455406188965
key202,value31.073745727539063
key10,value27.22154426574707
key152,value20.18907356262207
key16,value31.88900375366211
key200,value20.18907356262207
key85,value22.22455406188965
key205,value20.18907356262207
key60,value31.88900375366211
key124,value41.95927429199219
key62,value20.18907356262207
key68,value12.435091972351074
key42,value30.834585189819336
key71,value16.642175674438477
key153,value20.18907356262207
key67,value20.18907356262207
key130,value20.18907356262207
key109,value20.18907356262207
key40,value38.85598373413086
key99,value20.18907356262207
key213,value43.42967224121094
key47,value31.88900375366211
key198,value20.18907356262207
key167,value22.22455406188965
key206,value20.18907356262207
key196,value18.0064754486084
key212,value27.675378799438477
key73,value23.72580909729004
key127,value20.18907356262207
key178,value18.311187744140625
key101,value21.79880142211914
key55,value31.88900375366211
key43,value18.32572364807129
key0,value21.69032859802246
key61,value31.88900375366211
key8,value31.88900375366211
key121,value12.435091972351074
key22,value31.88900375366211
key188,value40.158321380615234
key70,value20.18907356262207
key157,value20.18907356262207
key201,value22.22455406188965
key138,value20.18907356262207
key179,value22.22455406188965
key41,value30.834585189819336
key166,value20.18907356262207
key135,value20.18907356262207
key6,value31.794578552246094
key218,value16.377655029296875
key194,value18.833131790161133
key145,value18.833131790161133
key2,value31.88900375366211
key78,value35.78535461425781
key136,value11.932270050048828
key111,value10.274408340454102
key144,value20.18907356262207
key50,value31.88900375366211
